sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,decile_score,priors_count,two_year_recid
Male,30,Caucasian,0,9,0,0,9,F,Felony Battery w/Prior Convict,1,9,9,1
Male,32,African-American,0,8,0,0,4,F,Att Tamper w/Physical Evidence,1,8,4,1
Male,55,Caucasian,0,1,0,0,0,F,arrest case no charge,0,1,0,0
Male,49,Other,0,3,0,0,7,F,Agg Fleeing and Eluding,1,3,7,1
Male,26,Caucasian,0,8,0,2,6,M,Operating W/O Valid License,0,8,6,0
Female,33,Caucasian,0,5,0,0,4,M,Battery,1,5,4,1
Male,24,Caucasian,0,2,0,0,1,M,Battery,1,2,1,1
Male,34,African-American,2,9,1,3,21,F,Poss Wep Conv Felon,1,9,21,1
Male,29,Caucasian,0,2,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,2,0,0
Female,21,African-American,0,8,0,0,2,F,arrest case no charge,0,8,2,0
Male,51,African-American,0,1,0,0,2,M,Unlaw Use False Name/Identity,0,1,2,0
Male,29,Caucasian,0,2,0,0,2,M,Viol Injunct Domestic Violence,1,2,2,1
Female,51,African-American,0,2,0,0,7,F,Possession of Cocaine,0,2,7,0
Male,29,African-American,0,7,0,0,0,F,Defrauding Innkeeper $300/More,1,7,0,1
Male,25,Caucasian,0,10,0,0,9,M,Battery,1,10,9,1
Male,35,African-American,1,8,0,4,13,F,Uttering a Forged Instrument,1,8,13,1
Male,49,Caucasian,0,1,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,1,0,0
Male,34,African-American,0,3,0,0,4,M,Driving License Suspended,1,3,4,1
Male,29,African-American,0,4,0,0,0,F,Tampering With Physical Evidence,0,4,0,0
Male,29,Caucasian,0,2,0,0,1,F,Possession of Oxycodone,1,2,1,1
Female,28,Other,0,2,0,0,0,F,Grand Theft in the 3rd Degree,0,2,0,0
Male,48,Caucasian,0,6,0,0,20,F,arrest case no charge,1,6,20,1
Female,63,Hispanic,0,1,0,0,1,F,arrest case no charge,0,1,1,0
Male,31,African-American,0,5,0,1,15,F,Attempt Armed Burglary Dwell,1,5,15,0
Male,24,African-American,0,4,0,0,2,F,Poss Tetrahydrocannabinols,1,4,2,1
Male,30,Hispanic,0,7,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,7,0,0
Male,49,African-American,0,1,0,0,4,M,Battery,0,1,4,0
Male,53,Caucasian,0,5,0,0,8,F,arrest case no charge,0,5,8,0
Male,35,African-American,0,3,0,0,5,F,Driving While License Revoked,0,3,5,0
Male,63,African-American,0,7,0,0,10,M,Possess Drug Paraphernalia,1,7,10,1
Male,27,African-American,1,10,1,2,15,F,Driving While License Revoked,1,10,15,1
Male,38,Caucasian,0,2,0,0,4,M,Battery,1,2,4,1
Male,22,African-American,0,4,0,1,1,F,Poss Firearm W/Altered ID#,1,4,1,1
Male,22,African-American,0,10,1,2,2,F,Sell Conterfeit Cont Substance,1,10,2,1
Male,29,African-American,0,9,0,0,4,F,arrest case no charge,1,9,4,1
Male,62,Hispanic,0,1,0,0,0,M,Unlaw LicTag/Sticker Attach,0,1,0,0
Male,27,African-American,0,6,1,0,6,F,Aggravated Battery / Pregnant,1,6,6,1
Male,33,Other,0,1,0,0,0,M,Battery,0,1,0,0
Female,56,African-American,0,1,0,0,0,M,Battery,0,1,0,0
Male,45,Hispanic,0,1,0,0,6,F,Possession of Cocaine,1,1,6,1
Male,22,Hispanic,0,4,0,0,1,F,Burglary Structure Unoccup,0,4,1,0
Male,39,African-American,0,4,0,0,1,M,arrest case no charge,0,4,1,0
Male,29,African-American,0,6,0,0,5,F,False Name By Person Arrest,1,6,5,1
Male,27,Caucasian,0,6,0,1,1,F,arrest case no charge,1,6,1,1
Male,40,African-American,0,2,0,0,2,F,arrest case no charge,0,2,2,0
Male,22,African-American,0,3,0,0,1,M,Battery,1,3,1,1
Male,22,Caucasian,0,8,0,0,0,F,Grand Theft in the 3rd Degree,0,8,0,0
Female,26,African-American,0,4,0,0,1,F,Poss Cocaine/Intent To Del/Sel,1,4,1,1
Male,27,Caucasian,0,7,0,0,1,F,Burglary Dwelling Assault/Batt,1,7,1,1
Male,32,African-American,0,2,0,0,0,F,Felony Battery (Dom Strang),0,2,0,0
Male,41,African-American,0,2,0,0,1,M,arrest case no charge,0,2,1,0
Male,30,African-American,0,10,0,0,8,M,Possess Cannabis/20 Grams Or Less,1,10,8,1
Male,50,Other,0,1,0,0,0,F,arrest case no charge,1,1,0,1
Male,25,African-American,1,10,6,1,14,F,arrest case no charge,1,10,14,1
Male,20,Other,0,5,0,0,0,F,Tampering With Physical Evidence,1,5,0,1
Male,22,African-American,1,9,0,0,2,F,Attempted Burg/struct/unocc,1,9,2,1
Male,23,African-American,0,7,0,1,2,M,arrest case no charge,1,7,2,1
Female,35,African-American,0,2,0,0,1,M,arrest case no charge,0,2,1,0
Male,36,African-American,0,7,0,0,9,F,Deliver Cocaine,1,7,9,1
Male,26,Caucasian,0,8,0,0,7,F,Possession Burglary Tools,1,8,7,1
Male,21,Other,0,6,0,0,1,F,Grand Theft in the 3rd Degree,1,6,1,1
Male,25,Caucasian,0,8,0,0,9,F,Pos Cannabis W/Intent Sel/Del,1,8,9,1
Male,71,African-American,0,7,0,0,12,M,Possess Cannabis/20 Grams Or Less,0,7,12,0
Female,20,Caucasian,0,7,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,7,0,0
Male,39,Caucasian,0,1,0,0,2,F,Possession Of Alprazolam,1,1,2,1
Male,66,Caucasian,0,1,0,0,3,F,Flee/Elude LEO-Agg Flee Unsafe,0,1,3,0
Female,54,Caucasian,0,1,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,1,0,0
Female,44,Hispanic,0,1,0,0,0,M,Battery,0,1,0,0
Male,19,African-American,0,4,0,0,1,M,Battery,1,4,1,1
Male,24,African-American,0,2,0,0,1,F,arrest case no charge,0,2,1,0
Male,30,African-American,0,2,0,0,1,F,Fail To Redeliv Hire/Leas Prop,0,2,1,0
Female,39,Caucasian,0,1,0,0,0,F,Aggravated Assault W/Dead Weap,1,1,0,1
Male,24,Caucasian,0,6,1,2,8,F,False Ownership Info/Pawn Item,1,6,8,1
Male,30,Caucasian,0,4,0,0,0,F,Possession Of Methamphetamine,0,4,0,0
Male,31,Caucasian,0,5,0,0,0,M,Battery,0,5,0,0
Female,39,Caucasian,0,4,0,0,1,F,Possession of Morphine,0,4,1,0
Male,59,African-American,0,9,0,0,14,F,arrest case no charge,1,9,14,1
Male,43,Caucasian,0,1,0,0,1,F,Possession of Cocaine,0,1,1,0
Male,21,African-American,0,9,0,0,3,F,Grand Theft in the 3rd Degree,1,9,3,1
Male,38,Caucasian,0,4,0,0,5,M,Possess Cannabis/20 Grams Or Less,1,4,5,1
Male,34,Caucasian,0,5,0,0,0,F,Aggravated Assault w/Firearm,0,5,0,0
Male,33,African-American,0,5,0,0,5,F,Poss Contr Subst W/o Prescript,1,5,5,1
Male,37,African-American,0,2,0,0,3,F,"Poss3,4 Methylenedioxymethcath",0,2,3,0
Male,42,Caucasian,0,2,0,0,1,F,Aggrav Stalking After Injunctn,1,2,1,1
Male,41,African-American,0,9,1,0,10,F,Possession of Cocaine,1,9,10,1
Male,22,African-American,0,4,0,0,0,F,Uttering a Forged Instrument,1,4,0,1
Male,33,African-American,0,8,12,2,28,F,Driving While License Revoked,1,8,28,1
Male,31,African-American,0,7,0,0,1,M,Battery,0,7,1,0
Female,30,Other,0,2,0,0,1,F,Crim Use of Personal ID Info,0,2,1,0
Male,31,Caucasian,0,10,0,0,13,F,arrest case no charge,1,10,13,1
Male,27,African-American,0,9,0,0,3,F,Possession of Cocaine,1,9,3,1
Male,56,African-American,0,9,0,0,8,F,arrest case no charge,0,9,8,0
Male,52,Caucasian,0,9,0,0,3,M,Battery,0,9,3,0
Male,33,African-American,0,10,0,0,19,F,arrest case no charge,1,10,19,1
Female,64,Caucasian,0,1,0,0,2,M,Resist/Obstruct W/O Violence,0,1,2,0
Male,22,Caucasian,0,6,0,0,4,F,Possession Of Alprazolam,1,6,4,1
Male,42,Caucasian,0,3,0,0,6,F,Possession Of Alprazolam,0,3,6,0
Female,25,Caucasian,0,4,0,0,2,F,arrest case no charge,0,4,2,0
Male,30,Caucasian,0,2,0,0,1,M,Agg Fleeing and Eluding,0,2,1,0
Male,28,Caucasian,0,1,0,0,2,F,arrest case no charge,0,1,2,0
Female,37,Other,0,2,0,0,2,M,Petit Theft,0,2,2,0
Male,28,Caucasian,0,2,0,0,0,M,Disorderly Intoxication,1,2,0,1
Female,24,African-American,0,2,0,0,0,M,Battery,0,2,0,0
Female,29,Caucasian,0,4,1,0,10,F,Grand Theft in the 3rd Degree,1,4,10,1
Male,44,Caucasian,0,2,0,0,2,M,Battery,1,2,2,1
Female,30,Hispanic,0,5,0,0,4,F,Battery on Law Enforc Officer,1,5,4,1
Male,32,African-American,0,7,0,0,3,F,Possession of Cocaine,1,7,3,1
Male,31,Caucasian,0,3,0,0,2,M,Resist/Obstruct W/O Violence,1,3,2,1
Male,31,African-American,0,2,0,0,1,M,Lewdness Violation,1,2,1,0
Male,59,Caucasian,0,2,0,0,1,F,Possession of Cocaine,1,2,1,1
Female,45,Caucasian,0,4,0,0,4,F,arrest case no charge,0,4,4,0
Female,20,African-American,1,10,0,0,1,F,arrest case no charge,0,10,1,0
Female,43,Caucasian,0,1,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,1,0,0
Male,38,African-American,1,8,1,0,9,F,Possession of Cocaine,1,8,9,1
Male,32,African-American,0,6,0,0,11,F,Poss Pyrrolidinovalerophenone,1,6,11,1
Male,33,African-American,0,5,0,0,8,M,Assault,1,5,8,1
Female,31,African-American,0,3,0,0,0,F,Possession of Oxycodone,1,3,0,1
Female,33,African-American,0,9,0,0,7,F,Possession of Cocaine,1,9,7,1
Male,27,African-American,0,9,0,0,2,F,Tampering With Physical Evidence,1,9,2,1
Female,20,African-American,0,6,0,0,0,F,Grand Theft in the 3rd Degree,0,6,0,0
Female,26,Caucasian,0,6,0,0,0,M,Fail To Obey Police Officer,0,6,0,0
Female,61,African-American,0,1,0,0,1,F,Solicit Purchase Cocaine,1,1,1,1
Male,52,Other,0,7,0,0,13,F,Felony Petit Theft,1,7,13,1
Male,63,Hispanic,0,1,0,0,1,F,arrest case no charge,0,1,1,0
Female,32,African-American,0,10,0,0,4,F,arrest case no charge,1,10,4,1
Male,29,Hispanic,0,4,0,0,1,F,Grand Theft in the 3rd Degree,0,4,1,0
Female,46,Other,0,2,0,0,1,F,Grand Theft in the 1st Degree,0,2,1,0
Female,26,African-American,0,4,0,0,2,M,Driving Under The Influence,1,4,2,1
Male,55,African-American,0,1,0,0,3,M,Battery,0,1,3,0
Male,39,Caucasian,1,4,0,0,1,M,,0,4,1,0
Female,30,Caucasian,0,7,0,0,3,F,Possession Of Carisoprodol,1,7,3,1
Male,30,African-American,0,7,0,0,1,F,Burglary Conveyance Assault/Bat,0,7,1,0
Male,48,Caucasian,0,2,0,0,2,M,Battery,0,2,2,0
Male,22,African-American,0,2,0,0,1,F,arrest case no charge,0,2,1,0
Male,46,Caucasian,0,1,0,0,6,F,Driving While License Revoked,1,1,6,1
Female,49,Caucasian,0,6,0,0,6,F,Crim Use of Personal ID Info,0,6,6,0
Male,31,Caucasian,0,5,0,0,0,F,"Deliver 3,4 Methylenediox",0,5,0,0
Male,25,African-American,0,2,0,0,1,M,Battery,1,2,1,1
Male,23,Hispanic,0,3,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,3,0,0
Female,32,African-American,0,7,0,0,5,F,Aggravated Assault W/dead Weap,0,7,5,0
Male,52,Hispanic,0,1,0,0,2,M,Leave Acc/Attend Veh/More $50,0,1,2,0
Male,62,African-American,0,4,0,0,8,F,Possession of Cocaine,0,4,8,0
Female,37,Caucasian,0,10,0,0,6,F,Possession of Cocaine,0,10,6,0
Male,55,Caucasian,0,1,0,0,1,F,Grand Theft in the 3rd Degree,0,1,1,0
Male,31,Hispanic,0,9,0,0,8,F,arrest case no charge,1,9,8,1
Male,28,African-American,0,6,0,0,6,M,Resist/Obstruct W/O Violence,1,6,6,1
Male,54,Hispanic,0,1,0,0,2,F,Burglary Unoccupied Dwelling,0,1,2,0
Male,58,Hispanic,0,2,0,0,0,F,Possession Of Heroin,0,2,0,0
Male,78,Caucasian,0,1,0,0,1,M,Driving Under The Influence,1,1,1,1
Male,56,Caucasian,0,1,0,0,0,F,Possession of Cocaine,0,1,0,0
Male,24,Other,0,2,0,0,0,F,Burglary Unoccupied Dwelling,0,2,0,0
Male,38,African-American,2,8,2,1,22,F,Child Abuse,1,8,22,1
Male,22,African-American,0,5,0,0,1,F,Pos Cannabis W/Intent Sel/Del,1,5,1,1
Male,47,African-American,0,8,0,0,23,M,Possess Cannabis/20 Grams Or Less,1,8,23,1
Male,23,African-American,0,2,0,0,0,M,Battery,1,2,0,1
Male,57,Hispanic,0,1,0,0,1,F,Driving While License Revoked,0,1,1,0
Female,38,Caucasian,0,5,0,0,2,F,Possession of Cocaine,1,5,2,1
Male,66,African-American,0,1,0,0,3,F,Agg Battery Grt/Bod/Harm,1,1,3,0
Male,45,Caucasian,0,4,0,0,8,M,Viol Injunct Domestic Violence,1,4,8,1
Female,52,Other,0,3,0,0,0,M,,1,3,0,1
Male,32,African-American,0,10,0,0,13,F,Poss Cocaine/Intent To Del/Sel,1,10,13,1
Male,37,African-American,0,9,0,0,2,M,Battery,1,9,2,1
Male,39,Caucasian,0,4,0,0,0,F,Possession Of Methamphetamine,1,4,0,1
Male,26,African-American,0,9,0,0,9,F,Deliver Cocaine,1,9,9,1
Male,45,Caucasian,0,3,0,0,2,F,Lewd or Lascivious Molestation,0,3,2,0
Male,23,African-American,0,3,0,0,0,F,Possession of Cannabis,1,3,0,1
Male,34,African-American,0,2,0,0,2,M,Battery,1,2,2,0
Female,23,African-American,0,4,0,0,1,M,Battery,0,4,1,0
Male,36,Other,0,3,0,0,2,M,Battery,1,3,2,1
Male,50,Caucasian,0,1,0,0,1,F,Sexual Performance by a Child,0,1,1,0
Female,37,Caucasian,0,3,0,0,0,M,Leaving Acc/Unattended Veh,0,3,0,0
Male,44,Caucasian,0,4,0,0,4,M,Battery,0,4,4,0
Female,35,African-American,0,9,1,0,23,F,Felony Petit Theft,1,9,23,1
Male,24,Other,0,5,0,0,5,F,arrest case no charge,1,5,5,1
Male,26,African-American,0,10,0,0,2,F,Fleeing Or Attmp Eluding A Leo,1,10,2,1
Male,27,African-American,0,2,0,0,0,M,Criminal Mischief,0,2,0,0
Female,28,African-American,0,8,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,8,0,0
Male,43,Caucasian,0,5,0,0,11,F,arrest case no charge,1,5,11,1
Female,28,Caucasian,0,9,0,0,7,F,Felony Petit Theft,1,9,7,1
Male,38,African-American,0,1,0,0,2,F,Driving While License Revoked,0,1,2,0
Male,27,Caucasian,0,4,0,0,2,M,Trespass Struct/Conveyance,0,4,2,0
Female,28,African-American,0,9,0,0,1,F,arrest case no charge,0,9,1,0
Male,56,Caucasian,0,1,0,0,7,F,Felony Driving While Lic Suspd,1,1,7,1
Male,38,African-American,0,9,0,0,15,F,Possession of Cocaine,0,9,15,0
Male,28,African-American,0,5,0,0,2,M,Possess Cannabis/20 Grams Or Less,0,5,2,0
Male,45,African-American,0,6,0,0,3,F,arrest case no charge,0,6,3,0
Male,28,Hispanic,0,2,0,0,0,M,DUI Property Damage/Injury,0,2,0,0
Male,61,Caucasian,0,1,0,0,1,F,arrest case no charge,0,1,1,0
Female,51,Caucasian,0,1,0,0,0,M,Driving Under The Influence,1,1,0,1
Male,51,Caucasian,0,2,0,0,0,M,Battery,0,2,0,0
Male,36,Other,0,1,0,0,1,M,Possess Cannabis/20 Grams Or Less,1,1,1,1
Male,48,African-American,0,1,0,0,0,F,Aggravated Battery (Firearm/Actual Possession),0,1,0,0
Male,37,Caucasian,0,3,0,0,4,F,arrest case no charge,1,3,4,1
Female,30,African-American,0,7,0,0,2,F,Grand Theft in the 3rd Degree,0,7,2,0
Female,41,African-American,0,6,0,0,5,M,Battery,0,6,5,0
Male,27,African-American,0,10,0,0,11,F,Robbery / No Weapon,1,10,11,1
Male,37,African-American,0,1,0,0,0,M,Battery,1,1,0,0
Male,33,Other,0,4,0,0,4,F,Aggravated Assault w/Firearm,1,4,4,1
Male,54,African-American,0,9,0,0,11,F,Grand Theft (Motor Vehicle),0,9,11,0
Male,23,African-American,0,9,0,0,2,F,Robbery / Weapon,0,9,2,0
Female,26,African-American,0,4,0,0,2,F,arrest case no charge,1,4,2,1
Male,41,African-American,0,1,0,0,0,M,Battery,0,1,0,0
Male,52,Caucasian,0,1,0,0,0,F,Burglary With Assault/battery,0,1,0,0
Male,43,Caucasian,0,4,0,0,13,F,Driving While License Revoked,1,4,13,1
Male,52,African-American,0,4,0,0,0,F,Uttering a Forged Instrument,0,4,0,0
Male,28,Caucasian,0,1,0,0,1,F,arrest case no charge,0,1,1,0
Male,30,African-American,0,9,0,2,11,M,Battery,1,9,11,1
Male,28,Caucasian,0,5,0,0,1,F,Criminal Mischief,0,5,1,0
Male,22,African-American,0,4,0,0,0,F,Pos Cannabis W/Intent Sel/Del,0,4,0,0
Male,30,African-American,0,2,0,0,4,F,Driving While License Revoked,0,2,4,0
Male,25,Hispanic,0,4,0,0,4,F,Possession of Cannabis,0,4,4,0
Male,31,Caucasian,0,8,0,0,0,F,Burglary Unoccupied Dwelling,1,8,0,1
Male,37,Caucasian,0,2,0,0,0,F,Grand Theft in the 3rd Degree,1,2,0,1
Male,32,African-American,0,9,1,0,14,F,Aggravated Battery / Pregnant,0,9,14,0
Male,26,African-American,0,8,1,0,4,M,Possess Cannabis/20 Grams Or Less,0,8,4,0
Male,53,Caucasian,0,1,0,0,1,M,Battery,0,1,1,0
Male,28,African-American,0,8,0,0,25,F,arrest case no charge,1,8,25,1
Male,44,Caucasian,0,5,0,0,8,M,Battery,1,5,8,1
Male,25,African-American,0,3,0,0,0,F,Grand Theft in the 3rd Degree,0,3,0,0
Male,22,Caucasian,0,8,0,1,1,M,Voyeurism,1,8,1,1
Female,37,Other,0,1,0,0,0,M,Battery,0,1,0,0
Female,40,Other,0,2,0,0,3,F,Driving While License Revoked,0,2,3,0
Male,36,Caucasian,0,7,0,0,8,F,Felony Driving While Lic Suspd,1,7,8,1
Male,30,Caucasian,0,2,0,0,4,F,False Imprisonment,0,2,4,0
Male,22,African-American,0,9,0,0,3,M,Prowling/Loitering,1,9,3,1
Female,24,Caucasian,0,7,0,0,1,M,Battery,1,7,1,1
Male,27,African-American,0,2,0,0,3,M,Viol Prot Injunc Repeat Viol,1,2,3,1
Female,31,Hispanic,0,2,0,0,0,M,Battery,0,2,0,0
Male,23,Hispanic,0,6,0,1,1,F,arrest case no charge,1,6,1,1
Female,23,Caucasian,0,5,0,4,5,F,arrest case no charge,1,5,5,1
Male,24,Hispanic,0,8,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,8,0,0
Male,29,African-American,0,3,0,0,1,M,Battery,0,3,1,0
Male,20,African-American,0,8,0,0,1,F,Carrying Concealed Firearm,1,8,1,1
Male,30,African-American,0,6,0,0,2,F,Carrying Concealed Firearm,1,6,2,1
Male,39,Other,0,1,0,0,0,F,Throw In Occupied Dwell,0,1,0,0
Male,27,African-American,0,4,0,0,4,F,arrest case no charge,0,4,4,0
Male,31,Caucasian,0,4,0,0,2,M,arrest case no charge,1,4,2,0
Female,37,African-American,0,1,0,0,2,F,arrest case no charge,0,1,2,0
Male,20,African-American,0,8,0,0,0,F,Possession Burglary Tools,0,8,0,0
Male,22,Hispanic,0,7,0,1,0,F,"Poss3,4 Methylenedioxymethcath",0,7,0,0
Female,52,African-American,0,1,0,0,0,F,Burglary Conveyance Unoccup,0,1,0,0
Female,23,African-American,0,4,0,0,0,F,Carrying Concealed Firearm,1,4,0,1
Female,48,African-American,0,2,0,0,0,F,Aggravated Assault W/Dead Weap,0,2,0,0
Male,66,African-American,0,6,0,0,8,F,Deliver Cocaine,1,6,8,1
Male,25,Caucasian,0,5,0,0,0,F,"Deliver 3,4 Methylenediox",0,5,0,0
Male,27,Caucasian,0,6,0,0,0,F,Grand Theft in the 3rd Degree,1,6,0,1
Male,30,African-American,0,7,0,0,11,F,Unauth Poss ID Card or DL,1,7,11,1
Male,22,African-American,0,10,1,1,3,M,Battery,1,10,3,1
Female,22,Caucasian,0,3,0,0,1,F,Pos Cannabis W/Intent Sel/Del,0,3,1,0
Male,35,African-American,0,10,0,0,2,F,arrest case no charge,0,10,2,0
Male,32,Caucasian,0,4,0,0,2,F,arrest case no charge,0,4,2,0
Female,41,African-American,0,3,0,0,2,M,Battery on Law Enforc Officer,0,3,2,0
Female,25,Other,0,2,0,0,0,F,Aggravated Assault W/Dead Weap,0,2,0,0
Male,44,African-American,0,7,0,0,24,M,Opert With Susp DL 2nd Offens,0,7,24,0
Male,52,African-American,0,6,0,0,3,F,Possession of Cocaine,1,6,3,1
Male,43,African-American,0,1,0,0,0,F,Felony Battery (Dom Strang),0,1,0,0
Male,37,Caucasian,0,1,0,0,3,F,arrest case no charge,0,1,3,0
Male,28,African-American,0,4,0,0,3,M,Possess Cannabis/20 Grams Or Less,1,4,3,1
Male,70,Caucasian,0,1,0,0,1,M,Battery,0,1,1,0
Male,54,Caucasian,0,2,0,0,6,F,Possession of Cocaine,1,2,6,1
Male,46,Caucasian,0,4,0,0,3,F,arrest case no charge,0,4,3,0
Male,21,African-American,0,9,0,0,0,M,Petit Theft,1,9,0,1
Male,26,African-American,0,8,0,0,1,M,Battery,1,8,1,1
Male,38,Hispanic,0,1,0,0,3,F,Crim Use of Personal ID Info,1,1,3,1
Male,34,Caucasian,0,4,0,0,5,M,Battery,0,4,5,0
Male,19,African-American,0,5,0,0,1,F,Grand Theft in the 3rd Degree,1,5,1,1
Male,34,African-American,0,4,0,0,5,M,Driving License Suspended,0,4,5,0
Male,23,Caucasian,0,5,0,0,0,F,Aggravated Assault W/Dead Weap,1,5,0,1
Male,34,African-American,0,4,0,0,5,F,Possession of Oxycodone,1,4,5,1
Male,30,African-American,0,1,0,0,2,F,arrest case no charge,0,1,2,0
Male,39,African-American,0,3,0,0,6,F,Aggravated Battery / Pregnant,1,3,6,1
Male,24,Other,0,3,0,0,0,F,Failure To Return Hired Vehicle,0,3,0,0
Male,33,Caucasian,0,3,0,0,1,M,Driving Under The Influence,1,3,1,1
Male,58,Caucasian,0,3,0,0,2,F,Agg Fleeing/Eluding High Speed,0,3,2,0
Female,21,African-American,0,6,0,0,0,M,Battery,0,6,0,0
Male,21,African-American,0,5,0,0,1,F,Attempted Robbery  No Weapon,1,5,1,0
Male,23,African-American,0,8,0,1,4,M,Possess Cannabis/20 Grams Or Less,1,8,4,1
Male,62,Caucasian,0,1,0,0,0,F,False Imprisonment,0,1,0,0
Male,27,African-American,1,8,0,1,4,M,Possess Cannabis/20 Grams Or Less,1,8,4,1
Male,37,Caucasian,0,3,0,0,5,F,Battery on Law Enforc Officer,0,3,5,0
Male,43,Other,0,2,0,0,2,F,Grand Theft in the 3rd Degree,1,2,2,1
Female,32,African-American,0,1,0,0,5,F,Aggrav Battery w/Deadly Weapon,0,1,5,0
Male,23,Hispanic,0,3,0,0,0,F,Burglary Conveyance Unoccup,0,3,0,0
Male,27,African-American,0,1,0,0,0,M,Battery,0,1,0,0
Male,44,Caucasian,0,1,0,0,0,M,Battery,1,1,0,1
Male,28,Caucasian,0,3,0,0,3,M,Battery,1,3,3,1
Female,42,Caucasian,0,2,0,0,0,F,Possession of Cocaine,0,2,0,0
Male,24,Other,0,10,1,0,9,F,Resist Officer w/Violence,1,10,9,1
Male,27,African-American,0,2,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,2,0,0
Male,20,African-American,0,10,0,0,0,F,Grand Theft (Motor Vehicle),1,10,0,1
Female,51,Caucasian,0,1,0,0,0,M,Battery on Law Enforc Officer,0,1,0,0
Male,56,Caucasian,0,1,0,0,0,M,Battery On Parking Enfor Speci,0,1,0,0
Male,29,African-American,0,9,0,0,7,F,arrest case no charge,0,9,7,0
Male,20,African-American,0,9,0,0,0,F,Grand Theft in the 3rd Degree,1,9,0,1
Male,53,Caucasian,0,1,0,0,6,F,arrest case no charge,0,1,6,0
Male,27,Caucasian,0,5,0,0,8,F,arrest case no charge,0,5,8,0
Male,24,African-American,0,9,1,0,2,F,Burglary Structure Unoccup,1,9,2,1
Male,53,Caucasian,0,6,0,0,36,F,Corrupt Public Servant,1,6,36,1
Male,28,Caucasian,0,3,0,0,2,M,Battery,1,3,2,1
Male,45,African-American,0,1,0,0,1,F,Crim Use of Personal ID Info,0,1,1,0
Male,21,Hispanic,0,5,1,0,3,F,Grand Theft in the 3rd Degree,1,5,3,0
Female,36,African-American,0,7,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,7,0,0
Female,25,Caucasian,0,4,0,0,2,M,Petit Theft,1,4,2,1
